Gamma	GammaRot	J	Ka	Kc	GammaVib	v1	v2	v3	v4	v5	v6	Tag	Obs	Uncertainty	Source
4	4	20	3	18	1	0	0	0	0	0	0	20-3-18-0-0-0-0-0-0	444.008843818	0.000368744	Marvel
3	3	20	3	17	1	0	0	0	0	0	0	20-3-17-0-0-0-0-0-0	455.039174786	0.000365077	Marvel
2	2	20	4	17	1	0	0	0	0	0	0	20-4-17-0-0-0-0-0-0	472.359910596	9.1067E-05	Marvel
1	1	20	4	16	1	0	0	0	0	0	0	20-4-16-0-0-0-0-0-0	474.868030375	9.1401E-05	Marvel
4	4	20	5	16	1	0	0	0	0	0	0	20-5-16-0-0-0-0-0-0	505.432930867	0.000366078	Marvel
3	3	20	5	15	1	0	0	0	0	0	0	20-5-15-0-0-0-0-0-0	505.678515867	0.000366111	Marvel
2	2	20	6	15	1	0	0	0	0	0	0	20-6-15-0-0-0-0-0-0	545.754266478	0.000104108	Marvel
1	1	20	6	14	1	0	0	0	0	0	0	20-6-14-0-0-0-0-0-0	545.767822751	9.807E-05	Marvel
4	4	20	7	14	1	0	0	0	0	0	0	20-7-14-0-0-0-0-0-0	593.735758552	0.000370414	Marvel
3	3	20	7	13	1	0	0	0	0	0	0	20-7-13-0-0-0-0-0-0	593.736247098	0.000370448	Marvel
2	2	20	8	13	1	0	0	0	0	0	0	20-8-13-0-0-0-0-0-0	649.278601728	0.000272109	Marvel
1	1	20	8	12	1	0	0	0	0	0	0	20-8-12-0-0-0-0-0-0	649.278715361	0.000266071	Marvel
4	4	20	9	12	1	0	0	0	0	0	0	20-9-12-0-0-0-0-0-0	712.286299914	0.000536414	Marvel
3	3	20	9	11	1	0	0	0	0	0	0	20-9-11-0-0-0-0-0-0	712.286432428	0.000431703	Marvel
2	2	20	10	11	1	0	0	0	0	0	0	20-10-11-0-0-0-0-0-0	782.691612816	0.000440109	Marvel
1	1	20	10	10	1	0	0	0	0	0	0	20-10-10-0-0-0-0-0-0	782.691728813	0.00041707	Marvel
4	4	20	11	10	1	0	0	0	0	0	0	20-11-10-0-0-0-0-0-0	860.4412349	0.000704414	Marvel
3	3	20	11	9	1	0	0	0	0	0	0	20-11-9-0-0-0-0-0-0	860.441330011	0.00056539	Marvel
2	2	20	12	9	1	0	0	0	0	0	0	20-12-9-0-0-0-0-0-0	945.487396796	0.000549757	Marvel
1	1	20	12	8	1	0	0	0	0	0	0	20-12-8-0-0-0-0-0-0	945.487488752	0.000550758	Marvel
4	4	20	13	8	1	0	0	0	0	0	0	20-13-8-0-0-0-0-0-0	1037.784240564	0.000872415	Marvel
3	3	20	13	7	1	0	0	0	0	0	0	20-13-7-0-0-0-0-0-0	1037.78431059	0.000699077	Marvel
2	2	20	14	7	1	0	0	0	0	0	0	20-14-7-0-0-0-0-0-0	1137.285777121	0.000717426	Marvel
1	1	20	14	6	1	0	0	0	0	0	0	20-14-6-0-0-0-0-0-0	1137.28584514	0.000718427	Marvel
4	4	20	15	6	1	0	0	0	0	0	0	20-15-6-0-0-0-0-0-0	1243.944987967	0.001040416	Marvel
3	3	20	15	5	1	0	0	0	0	0	0	20-15-5-0-0-0-0-0-0	1243.945054681	0.000867078	Marvel
2	2	20	16	5	1	0	0	0	0	0	0	20-16-5-0-0-0-0-0-0	1357.713304551	0.00088109	Marvel
1	1	20	16	4	1	0	0	0	0	0	0	20-16-4-0-0-0-0-0-0	1357.713383336	0.000882091	Marvel
3	3	20	17	3	1	0	0	0	0	0	0	20-17-3-0-0-0-0-0-0	1478.51404	1.913E-05	Marvel
4	4	20	17	4	1	0	0	0	0	0	0	20-17-4-0-0-0-0-0-0	1478.51404	1.9125E-05	Marvel
1	1	20	18	2	1	0	0	0	0	0	0	20-18-2-0-0-0-0-0-0	1606.349025	2.5721E-05	Marvel
2	2	20	18	3	1	0	0	0	0	0	0	20-18-3-0-0-0-0-0-0	1606.349025001	2.5721E-05	Marvel
1	1	20	0	20	1	0	1	0	0	0	0	20-0-20-0-1-0-0-0-0	2082.715391467	0.000488401	Marvel
4	4	20	1	20	1	0	1	0	0	0	0	20-1-20-0-1-0-0-0-0	2082.738524675	0.010370114	Marvel
3	3	20	1	19	1	0	1	0	0	0	0	20-1-19-0-1-0-0-0-0	2113.9479923	0.000766078	Marvel
2	2	20	2	19	1	0	1	0	0	0	0	20-2-19-0-1-0-0-0-0	2114.576579364	0.000486735	Marvel
1	1	20	2	18	1	0	1	0	0	0	0	20-2-18-0-1-0-0-0-0	2137.450686072	0.000488401	Marvel
4	4	20	3	18	1	0	1	0	0	0	0	20-3-18-0-1-0-0-0-0	2142.889701469	0.000765077	Marvel
3	3	20	3	17	1	0	1	0	0	0	0	20-3-17-0-1-0-0-0-0	2153.780641712	0.000764077	Marvel
2	2	20	4	17	1	0	1	0	0	0	0	20-4-17-0-1-0-0-0-0	2171.250913846	0.000491401	Marvel
1	1	20	4	16	1	0	1	0	0	0	0	20-4-16-0-1-0-0-0-0	2173.699907911	0.0004204	Marvel
4	4	20	5	16	1	0	1	0	0	0	0	20-5-16-0-1-0-0-0-0	2204.389351409	0.000766111	Marvel
3	3	20	5	15	1	0	1	0	0	0	0	20-5-15-0-1-0-0-0-0	2204.62666637	0.000766078	Marvel
2	2	20	6	15	1	0	1	0	0	0	0	20-6-15-0-1-0-0-0-0	2244.802580092	0.00049807	Marvel
1	1	20	6	14	1	0	1	0	0	0	0	20-6-14-0-1-0-0-0-0	2244.815776326	0.00049707	Marvel
1	1	20	0	20	1	0	0	0	2	0	0	20-0-20-0-0-0-2-0-0	2250.68893	0.0028	05LoUlBe
4	4	20	1	20	1	0	0	0	2	0	0	20-1-20-0-0-0-2-0-0	2250.70593	0.0028	05LoUlBe
3	3	20	1	19	1	0	0	0	2	0	0	20-1-19-0-0-0-2-0-0	2276.70034	0.0028	05LoUlBe
2	2	20	2	19	1	0	0	0	2	0	0	20-2-19-0-0-0-2-0-0	2277.15683	0.0028	05LoUlBe
4	4	20	7	14	1	0	1	0	0	0	0	20-7-14-0-1-0-0-0-0	2292.889950275	0.000770448	Marvel
3	3	20	7	13	1	0	1	0	0	0	0	20-7-13-0-1-0-0-0-0	2292.890190825	0.000770414	Marvel
1	1	20	2	18	1	0	0	0	2	0	0	20-2-18-0-0-0-2-0-0	2297.04928	0.0028	05LoUlBe
4	4	20	3	18	1	0	0	0	2	0	0	20-3-18-0-0-0-2-0-0	2301.18286	0.0028	05LoUlBe
3	3	20	3	17	1	0	0	0	2	0	0	20-3-17-0-0-0-2-0-0	2310.65307	0.0028	05LoUlBe
2	1	20	0	20	2	0	0	0	1	0	1	20-0-20-0-0-0-1-0-1	2311.96624	0.0028	05LoUlBe
2	2	20	4	17	1	0	0	0	2	0	0	20-4-17-0-0-0-2-0-0	2325.36492	0.0028	05LoUlBe
1	1	20	4	16	1	0	0	0	2	0	0	20-4-16-0-0-0-2-0-0	2327.56579	0.0028	05LoUlBe
4	3	20	1	19	2	0	0	0	1	0	1	20-1-19-0-0-0-1-0-1	2337.76465	0.0028	05LoUlBe
1	2	20	2	19	2	0	0	0	1	0	1	20-2-19-0-0-0-1-0-1	2338.49256	0.0028	05LoUlBe
2	2	20	8	13	1	0	1	0	0	0	0	20-8-13-0-1-0-0-0-0	2348.551321175	0.000666071	Marvel
1	1	20	8	12	1	0	1	0	0	0	0	20-8-12-0-1-0-0-0-0	2348.551590671	0.000667072	Marvel
4	4	20	5	16	1	0	0	0	2	0	0	20-5-16-0-0-0-2-0-0	2353.35267	0.0028	05LoUlBe
3	3	20	5	15	1	0	0	0	2	0	0	20-5-15-0-0-0-2-0-0	2353.46255	0.0028	05LoUlBe
4	4	20	1	20	1	0	0	0	0	0	2	20-1-20-0-0-0-0-0-2	2359.53961	0.0028	05LoUlBe
1	1	20	0	20	1	0	0	0	0	0	2	20-0-20-0-0-0-0-0-2	2359.61087	0.0028	05LoUlBe
2	1	20	2	18	2	0	0	0	1	0	1	20-2-18-0-0-0-1-0-1	2361.04217	0.0028	05LoUlBe
3	4	20	3	18	2	0	0	0	1	0	1	20-3-18-0-0-0-1-0-1	2365.61283	0.0028	05LoUlBe
1	1	20	6	14	1	0	0	0	2	0	0	20-6-14-0-0-0-2-0-0	2386.82886	0.0028	05LoUlBe
2	2	20	6	15	1	0	0	0	2	0	0	20-6-15-0-0-0-2-0-0	2387.29876	0.0028	05LoUlBe
2	1	20	4	16	2	0	0	0	1	0	1	20-4-16-0-0-0-1-0-1	2392.81519	0.0028	05LoUlBe
1	2	20	4	17	2	0	0	0	1	0	1	20-4-17-0-0-0-1-0-1	2393.42044	0.0028	05LoUlBe
4	4	20	9	12	1	0	1	0	0	0	0	20-9-12-0-1-0-0-0-0	2411.691462035	0.000937414	Marvel
3	3	20	9	11	1	0	1	0	0	0	0	20-9-11-0-1-0-0-0-0	2411.691594549	0.000830702	Marvel
1	1	20	2	18	1	0	0	0	0	0	2	20-2-18-0-0-0-0-0-2	2417.86689	0.0028	05LoUlBe
4	3	20	5	15	2	0	0	0	1	0	1	20-5-15-0-0-0-1-0-1	2421.13508	0.0028	05LoUlBe
3	4	20	5	16	2	0	0	0	1	0	1	20-5-16-0-0-0-1-0-1	2422.2109	0.0028	05LoUlBe
4	4	20	3	18	1	0	0	0	0	0	2	20-3-18-0-0-0-0-0-2	2427.74783	0.0028	05LoUlBe
3	3	20	7	13	1	0	0	0	2	0	0	20-7-13-0-0-0-2-0-0	2430.44659	0.0028	05LoUlBe
3	3	20	3	17	1	0	0	0	0	0	2	20-3-17-0-0-0-0-0-2	2436.48271	0.0028	05LoUlBe
1	3	20	1	19	3	0	0	1	1	0	0	20-1-19-0-0-1-1-0-0	2440.40191	0.0028	05LoUlBe
4	2	20	2	19	3	0	0	1	1	0	0	20-2-19-0-0-1-1-0-0	2440.52951	0.0028	05LoUlBe
4	4	20	1	20	1	1	0	0	0	0	0	20-1-20-1-0-0-0-0-0	2448.14381	0.0028	05LoUlBe
2	2	20	4	17	1	0	0	0	0	0	2	20-4-17-0-0-0-0-0-2	2456.6804	0.0028	05LoUlBe
1	1	20	4	16	1	0	0	0	0	0	2	20-4-16-0-0-0-0-0-2	2457.7926	0.0028	05LoUlBe
1	4	20	1	20	4	0	0	1	0	0	1	20-1-20-0-0-1-0-0-1	2463.52579	0.0028	05LoUlBe
4	1	20	0	20	4	0	0	1	0	0	1	20-0-20-0-0-1-0-0-1	2464.01071	0.0028	05LoUlBe
2	1	20	6	14	2	0	0	0	1	0	1	20-6-14-0-0-0-1-0-1	2464.30423	0.0028	05LoUlBe
1	2	20	6	15	2	0	0	0	1	0	1	20-6-15-0-0-0-1-0-1	2465.45138	0.0028	05LoUlBe
3	1	20	2	18	3	0	0	1	1	0	0	20-2-18-0-0-1-1-0-0	2469.00549	0.0028	05LoUlBe
2	4	20	3	18	3	0	0	1	1	0	0	20-3-18-0-0-1-1-0-0	2471.97204	0.0028	05LoUlBe
3	3	20	1	19	1	1	0	0	0	0	0	20-1-19-1-0-0-0-0-0	2475.54608	0.0028	05LoUlBe
2	2	20	2	19	1	1	0	0	0	0	0	20-2-19-1-0-0-0-0-0	2477.09057	0.0028	05LoUlBe
1	1	20	8	12	1	0	0	0	2	0	0	20-8-12-0-0-0-2-0-0	2478.57059	0.0028	05LoUlBe
2	2	20	8	13	1	0	0	0	2	0	0	20-8-13-0-0-0-2-0-0	2478.588	0.0028	05LoUlBe
2	2	20	10	11	1	0	1	0	0	0	0	20-10-11-0-1-0-0-0-0	2482.248874716	0.00081707	Marvel
1	1	20	10	10	1	0	1	0	0	0	0	20-10-10-0-1-0-0-0-0	2482.24891355	0.000840109	Marvel
1	3	20	3	17	3	0	0	1	1	0	0	20-3-17-0-0-1-1-0-0	2485.68809	0.0028	05LoUlBe
3	2	20	2	19	4	0	0	1	0	0	1	20-2-19-0-0-1-0-0-1	2495.37016	0.0028	05LoUlBe
4	4	20	5	16	1	0	0	0	0	0	2	20-5-16-0-0-0-0-0-2	2495.39722	0.0028	05LoUlBe
2	3	20	1	19	4	0	0	1	0	0	1	20-1-19-0-0-1-0-0-1	2497.06114	0.0028	05LoUlBe
3	3	20	5	15	1	0	0	0	0	0	2	20-5-15-0-0-0-0-0-2	2497.2459	0.0028	05LoUlBe
4	2	20	4	17	3	0	0	1	1	0	0	20-4-17-0-0-1-1-0-0	2499.52428	0.0028	05LoUlBe
1	1	20	2	18	1	1	0	0	0	0	0	20-2-18-1-0-0-0-0-0	2500.9967	0.0028	05LoUlBe
3	1	20	4	16	3	0	0	1	1	0	0	20-4-16-0-0-1-1-0-0	2504.54431	0.0028	05LoUlBe
4	1	20	2	18	4	0	0	1	0	0	1	20-2-18-0-0-1-0-0-1	2506.02075	0.0028	05LoUlBe
4	3	20	7	13	2	0	0	0	1	0	1	20-7-13-0-0-0-1-0-1	2510.06649	0.0028	05LoUlBe
3	4	20	7	14	2	0	0	0	1	0	1	20-7-14-0-0-0-1-0-1	2510.32105	0.0028	05LoUlBe
3	3	20	3	17	1	1	0	0	0	0	0	20-3-17-1-0-0-0-0-0	2518.93999	0.0028	05LoUlBe
1	4	20	3	18	4	0	0	1	0	0	1	20-3-18-0-0-1-0-0-1	2525.30905	0.0028	05LoUlBe
2	2	20	4	17	1	1	0	0	0	0	0	20-4-17-1-0-0-0-0-0	2527.19838	0.0028	05LoUlBe
1	1	20	4	16	1	1	0	0	0	0	0	20-4-16-1-0-0-0-0-0	2529.87911	0.0028	05LoUlBe
2	3	20	3	17	4	0	0	1	0	0	1	20-3-17-0-0-1-0-0-1	2533.11838	0.0028	05LoUlBe
4	4	20	9	12	1	0	0	0	2	0	0	20-9-12-0-0-0-2-0-0	2533.8665	0.0028	05LoUlBe
3	3	20	9	11	1	0	0	0	2	0	0	20-9-11-0-0-0-2-0-0	2533.8665	0.0028	05LoUlBe
1	3	20	5	15	3	0	0	1	1	0	0	20-5-15-0-0-1-1-0-0	2539.80725	0.0028	05LoUlBe
2	4	20	5	16	3	0	0	1	1	0	0	20-5-16-0-0-1-1-0-0	2540.10064	0.0028	05LoUlBe
4	1	20	0	20	4	0	0	0	0	1	0	20-0-20-0-0-0-0-1-0	2544.37415	0.0028	05LoUlBe
1	4	20	1	20	4	0	0	0	0	1	0	20-1-20-0-0-0-0-1-0	2544.40298	0.0028	05LoUlBe
1	1	20	6	14	1	0	0	0	0	0	2	20-6-14-0-0-0-0-0-2	2544.57201	0.0028	05LoUlBe
2	2	20	6	15	1	0	0	0	0	0	2	20-6-15-0-0-0-0-0-2	2545.0885	0.0028	05LoUlBe
3	2	20	4	17	4	0	0	1	0	0	1	20-4-17-0-0-1-0-0-1	2557.32556	0.0028	05LoUlBe
4	1	20	4	16	4	0	0	1	0	0	1	20-4-16-0-0-1-0-0-1	2559.08976	0.0028	05LoUlBe
4	4	20	11	10	1	0	1	0	0	0	0	20-11-10-0-1-0-0-0-0	2560.156134593	0.00096539	Marvel
3	3	20	11	9	1	0	1	0	0	0	0	20-11-9-0-1-0-0-0-0	2560.156166307	0.001104414	Marvel
4	4	20	5	16	1	1	0	0	0	0	0	20-5-16-1-0-0-0-0-0	2561.78173	0.0028	05LoUlBe
3	3	20	5	15	1	1	0	0	0	0	0	20-5-15-1-0-0-0-0-0	2562.07422	0.0028	05LoUlBe
1	2	20	8	13	2	0	0	0	1	0	1	20-8-13-0-0-0-1-0-1	2563.84138	0.0028	05LoUlBe
2	1	20	8	12	2	0	0	0	1	0	1	20-8-12-0-0-0-1-0-1	2563.84138	0.0028	05LoUlBe
3	1	20	6	14	3	0	0	1	1	0	0	20-6-14-0-0-1-1-0-0	2573.16495	0.0028	05LoUlBe
2	3	20	1	19	4	0	0	0	0	1	0	20-1-19-0-0-0-0-1-0	2576.15017	0.0028	05LoUlBe
3	2	20	2	19	4	0	0	0	0	1	0	20-2-19-0-0-0-0-1-0	2576.71841	0.0028	05LoUlBe
1	4	20	5	16	4	0	0	1	0	0	1	20-5-16-0-0-1-0-0-1	2594.67425	0.0028	05LoUlBe
2	3	20	5	15	4	0	0	1	0	0	1	20-5-15-0-0-1-0-0-1	2594.78362	0.0028	05LoUlBe
2	2	20	10	11	1	0	0	0	2	0	0	20-10-11-0-0-0-2-0-0	2596.31163	0.0028	05LoUlBe
1	1	20	10	10	1	0	0	0	2	0	0	20-10-10-0-0-0-2-0-0	2596.31163	0.0028	05LoUlBe
4	4	20	7	14	1	0	0	0	0	0	2	20-7-14-0-0-0-0-0-2	2598.2907	0.0028	05LoUlBe
3	3	20	7	13	1	0	0	0	0	0	2	20-7-13-0-0-0-0-0-2	2598.2971	0.0028	05LoUlBe
4	1	20	2	18	4	0	0	0	0	1	0	20-2-18-0-0-0-0-1-0	2600.48413	0.0028	05LoUlBe
2	2	20	6	15	1	1	0	0	0	0	0	20-6-15-1-0-0-0-0-0	2602.47566	0.0028	05LoUlBe
1	1	20	6	14	1	1	0	0	0	0	0	20-6-14-1-0-0-0-0-0	2602.4925	0.0028	05LoUlBe
1	4	20	3	18	4	0	0	0	0	1	0	20-3-18-0-0-0-0-1-0	2605.47327	0.0028	05LoUlBe
1	3	20	7	13	3	0	0	1	1	0	0	20-7-13-0-0-1-1-0-0	2616.19257	0.0028	05LoUlBe
2	4	20	7	14	3	0	0	1	1	0	0	20-7-14-0-0-1-1-0-0	2616.31717	0.0028	05LoUlBe
2	3	20	3	17	4	0	0	0	0	1	0	20-3-17-0-0-0-0-1-0	2616.33149	0.0028	05LoUlBe
3	4	20	9	12	2	0	0	0	1	0	1	20-9-12-0-0-0-1-0-1	2625.24575	0.0028	05LoUlBe
4	3	20	9	11	2	0	0	0	1	0	1	20-9-11-0-0-0-1-0-1	2625.24575	0.0028	05LoUlBe
3	2	20	4	17	4	0	0	0	0	1	0	20-4-17-0-0-0-0-1-0	2633.95453	0.0028	05LoUlBe
4	1	20	4	16	4	0	0	0	0	1	0	20-4-16-0-0-0-0-1-0	2635.80485	0.0028	05LoUlBe
3	2	20	6	15	4	0	0	1	0	0	1	20-6-15-0-0-1-0-0-1	2640.01169	0.0028	05LoUlBe
4	1	20	6	14	4	0	0	1	0	0	1	20-6-14-0-0-1-0-0-1	2640.02945	0.0028	05LoUlBe
2	2	20	12	9	1	0	1	0	0	0	0	20-12-9-0-1-0-0-0-0	2645.377626923	0.000950758	Marvel
1	1	20	12	8	1	0	1	0	0	0	0	20-12-8-0-1-0-0-0-0	2645.377657584	0.000949757	Marvel
1	1	20	2	18	1	0	0	2	0	0	0	20-2-18-0-0-2-0-0-0	2648.45979	0.0028	05LoUlBe
4	4	20	7	14	1	1	0	0	0	0	0	20-7-14-1-0-0-0-0-0	2650.28911	0.0028	05LoUlBe
3	3	20	7	13	1	1	0	0	0	0	0	20-7-13-1-0-0-0-0-0	2650.28911	0.0028	05LoUlBe
2	2	20	8	13	1	0	0	0	0	0	2	20-8-13-0-0-0-0-0-2	2659.09204	0.0028	05LoUlBe
1	1	20	8	12	1	0	0	0	0	0	2	20-8-12-0-0-0-0-0-2	2659.10087	0.0028	05LoUlBe
2	3	20	5	15	4	0	0	0	0	1	0	20-5-15-0-0-0-0-1-0	2666.13337	0.0028	05LoUlBe
1	4	20	5	16	4	0	0	0	0	1	0	20-5-16-0-0-0-0-1-0	2666.34894	0.0028	05LoUlBe
2	3	20	7	13	4	0	0	1	0	0	1	20-7-13-0-0-1-0-0-1	2693.36538	0.0028	05LoUlBe
4	1	20	6	14	4	0	0	0	0	1	0	20-6-14-0-0-0-0-1-0	2704.76449	0.0028	05LoUlBe
3	2	20	6	15	4	0	0	0	0	1	0	20-6-15-0-0-0-0-1-0	2704.86264	0.0028	05LoUlBe
2	2	20	8	13	1	1	0	0	0	0	0	20-8-13-1-0-0-0-0-0	2705.50862	0.0028	05LoUlBe
1	1	20	8	12	1	1	0	0	0	0	0	20-8-12-1-0-0-0-0-0	2705.50862	0.0028	05LoUlBe
4	4	20	5	16	1	0	0	2	0	0	0	20-5-16-0-0-2-0-0-0	2718.81501	0.0028	05LoUlBe
4	4	20	9	12	1	0	0	0	0	0	2	20-9-12-0-0-0-0-0-2	2726.21785	0.0028	05LoUlBe
3	3	20	9	11	1	0	0	0	0	0	2	20-9-11-0-0-0-0-0-2	2726.21785	0.0028	05LoUlBe
4	4	20	13	8	1	0	1	0	0	0	0	20-13-8-0-1-0-0-0-0	2737.863770549	0.001099077	Marvel
3	3	20	13	7	1	0	1	0	0	0	0	20-13-7-0-1-0-0-0-0	2737.863793897	0.001098077	Marvel
2	2	20	6	15	1	0	0	2	0	0	0	20-6-15-0-0-2-0-0-0	2749.96209	0.0028	05LoUlBe
1	1	20	6	14	1	0	0	2	0	0	0	20-6-14-0-0-2-0-0-0	2749.9744	0.0028	05LoUlBe
3	2	20	8	13	4	0	0	1	0	0	1	20-8-13-0-0-1-0-0-1	2756.10657	0.0028	05LoUlBe
4	1	20	8	12	4	0	0	1	0	0	1	20-8-12-0-0-1-0-0-1	2756.10657	0.0028	05LoUlBe
2	3	20	7	13	4	0	0	0	0	1	0	20-7-13-0-0-0-0-1-0	2762.74893	0.0028	05LoUlBe
1	4	20	7	14	4	0	0	0	0	1	0	20-7-14-0-0-0-0-1-0	2762.76026	0.0028	05LoUlBe
4	4	20	9	12	1	1	0	0	0	0	0	20-9-12-1-0-0-0-0-0	2767.13527	0.0028	05LoUlBe
3	3	20	9	11	1	1	0	0	0	0	0	20-9-11-1-0-0-0-0-0	2767.13527	0.0028	05LoUlBe
1	4	20	9	12	4	0	0	1	0	0	1	20-9-12-0-0-1-0-0-1	2798.53869	0.0028	05LoUlBe
2	3	20	9	11	4	0	0	1	0	0	1	20-9-11-0-0-1-0-0-1	2798.53869	0.0028	05LoUlBe
4	4	20	7	14	1	0	0	2	0	0	0	20-7-14-0-0-2-0-0-0	2801.17467	0.0028	05LoUlBe
3	3	20	7	13	1	0	0	2	0	0	0	20-7-13-0-0-2-0-0-0	2801.17467	0.0028	05LoUlBe
3	2	20	8	13	4	0	0	0	0	1	0	20-8-13-0-0-0-0-1-0	2816.24991	0.0028	05LoUlBe
4	1	20	8	12	4	0	0	0	0	1	0	20-8-12-0-0-0-0-1-0	2816.24991	0.0028	05LoUlBe
2	2	20	10	11	1	0	0	0	0	0	2	20-10-11-0-0-0-0-0-2	2827.3375	0.0028	05LoUlBe
1	1	20	10	10	1	0	0	0	0	0	2	20-10-10-0-0-0-0-0-2	2827.3375	0.0028	05LoUlBe
2	2	20	14	7	1	0	1	0	0	0	0	20-14-7-0-1-0-0-0-0	2837.568219433	0.00111409	Marvel
1	1	20	14	6	1	0	1	0	0	0	0	20-14-6-0-1-0-0-0-0	2837.568287343	0.001115091	Marvel
2	2	20	10	11	1	1	0	0	0	0	0	20-10-11-1-0-0-0-0-0	2838.01528	0.0028	05LoUlBe
1	1	20	10	10	1	1	0	0	0	0	0	20-10-10-1-0-0-0-0-0	2838.01528	0.0028	05LoUlBe
1	2	20	12	9	2	0	0	0	1	0	1	20-12-9-0-0-0-1-0-1	2851.89014	0.0028	05LoUlBe
2	1	20	12	8	2	0	0	0	1	0	1	20-12-8-0-0-0-1-0-1	2851.89014	0.0028	05LoUlBe
2	2	20	8	13	1	0	0	2	0	0	0	20-8-13-0-0-2-0-0-0	2859.11457	0.0028	05LoUlBe
1	1	20	8	12	1	0	0	2	0	0	0	20-8-12-0-0-2-0-0-0	2859.11457	0.0028	05LoUlBe
1	4	20	9	12	4	0	0	0	0	1	0	20-9-12-0-0-0-0-1-0	2878.57956	0.0028	05LoUlBe
2	3	20	9	11	4	0	0	0	0	1	0	20-9-11-0-0-0-0-1-0	2878.57956	0.0028	05LoUlBe
4	4	20	15	6	1	0	1	0	0	0	0	20-15-6-0-1-0-0-0-0	2944.442706968	0.001439415	Marvel
3	3	20	15	5	1	0	1	0	0	0	0	20-15-5-0-1-0-0-0-0	2944.442773683	0.001264076	Marvel
3	2	20	10	11	4	0	0	0	0	1	0	20-10-11-0-0-0-0-1-0	2949.07879	0.0028	05LoUlBe
4	1	20	10	10	4	0	0	0	0	1	0	20-10-10-0-0-0-0-1-0	2949.07879	0.0028	05LoUlBe
1	4	20	11	10	4	0	0	0	0	1	0	20-11-10-0-0-0-0-1-0	3027.89051	0.0028	05LoUlBe
2	3	20	11	9	4	0	0	0	0	1	0	20-11-9-0-0-0-0-1-0	3027.89051	0.0028	05LoUlBe
1	1	20	16	4	1	0	1	0	0	0	0	20-16-4-0-1-0-0-0-0	3058.438181438	0.00128109	Marvel
2	2	20	16	5	1	0	1	0	0	0	0	20-16-5-0-1-0-0-0-0	3058.438181443	0.00128009	Marvel
3	2	20	12	9	4	0	0	0	0	1	0	20-12-9-0-0-0-0-1-0	3116.38462	0.0028	05LoUlBe
4	1	20	12	8	4	0	0	0	0	1	0	20-12-8-0-0-0-0-1-0	3116.38462	0.0028	05LoUlBe
1	4	20	13	8	4	0	0	0	0	1	0	20-13-8-0-0-0-0-1-0	3198.43038	0.0028	05LoUlBe
2	3	20	13	7	4	0	0	0	0	1	0	20-13-7-0-0-0-0-1-0	3198.43038	0.0028	05LoUlBe
1	4	20	15	6	4	0	0	0	0	1	0	20-15-6-0-0-0-0-1-0	3409.51198	0.0028	05LoUlBe
2	3	20	15	5	4	0	0	0	0	1	0	20-15-5-0-0-0-0-1-0	3409.51198	0.0028	05LoUlBe
3	2	20	16	5	4	0	0	0	0	1	0	20-16-5-0-0-0-0-1-0	3525.3514	0.0028	05LoUlBe
4	1	20	16	4	4	0	0	0	0	1	0	20-16-4-0-0-0-0-1-0	3525.3514	0.0028	05LoUlBe
2	2	21	0	21	1	0	0	0	0	0	0	21-0-21-0-0-0-0-0-0	421.260741042	8.8401E-05	Marvel
3	3	21	1	21	1	0	0	0	0	0	0	21-1-21-0-0-0-0-0-0	421.275829612	0.000370114	Marvel
4	4	21	1	20	1	0	0	0	0	0	0	21-1-20-0-0-0-0-0-0	454.454767786	0.000365111	Marvel
1	1	21	2	20	1	0	0	0	0	0	0	21-2-20-0-0-0-0-0-0	454.900191993	9.1736E-05	Marvel
2	2	21	2	19	1	0	0	0	0	0	0	21-2-19-0-0-0-0-0-0	480.291583165	9.0071E-05	Marvel
3	3	21	3	19	1	0	0	0	0	0	0	21-3-19-0-0-0-0-0-0	484.66019683	0.000367744	Marvel
4	4	21	3	18	1	0	0	0	0	0	0	21-3-18-0-0-0-0-0-0	497.901050446	0.000366078	Marvel
1	1	21	4	18	1	0	0	0	0	0	0	21-4-18-0-0-0-0-0-0	513.692695024	9.4403E-05	Marvel
2	2	21	4	17	1	0	0	0	0	0	0	21-4-17-0-0-0-0-0-0	517.163164995	9.2402E-05	Marvel
3	3	21	5	17	1	0	0	0	0	0	0	21-5-17-0-0-0-0-0-0	546.821050352	0.000367079	Marvel
4	4	21	5	16	1	0	0	0	0	0	0	21-5-16-0-0-0-0-0-0	547.210666352	0.000367112	Marvel
1	1	21	6	16	1	0	0	0	0	0	0	21-6-16-0-0-0-0-0-0	587.013360484	0.000103107	Marvel
2	2	21	6	15	1	0	0	0	0	0	0	21-6-15-0-0-0-0-0-0	587.03746476	9.707E-05	Marvel
3	3	21	7	15	1	0	0	0	0	0	0	21-7-15-0-0-0-0-0-0	634.885123534	0.000371082	Marvel
4	4	21	7	14	1	0	0	0	0	0	0	21-7-14-0-0-0-0-0-0	634.886093108	0.000371115	Marvel
1	1	21	8	14	1	0	0	0	0	0	0	21-8-14-0-0-0-0-0-0	690.350101728	0.000271108	Marvel
2	2	21	8	13	1	0	0	0	0	0	0	21-8-13-0-0-0-0-0-0	690.350215348	0.00026507	Marvel
3	3	21	9	13	1	0	0	0	0	0	0	21-9-13-0-0-0-0-0-0	753.298927911	0.000537414	Marvel
4	4	21	9	12	1	0	0	0	0	0	0	21-9-12-0-0-0-0-0-0	753.299060434	0.000432704	Marvel
