Gamma	GammaRot	J	Ka	Kc	GammaVib	v1	v2	v3	v4	v5	v6	Tag	Obs	Uncertainty	Source
1	1	2	2	0	1	0	0	0	0	0	2	2-2-0-0-0-0-0-0-2	1999.73706	0.0026	05LoUlBe
2	2	2	2	1	1	0	0	0	0	0	2	2-2-1-0-0-0-0-0-2	1999.74393	0.0026	05LoUlBe
4	2	2	2	1	3	0	0	1	1	0	0	2-2-1-0-0-1-1-0-0	2057.20347	0.0026	05LoUlBe
1	1	2	0	2	1	1	0	0	0	0	0	2-0-2-1-0-0-0-0-0	2066.77453	0.0026	05LoUlBe
4	4	2	1	2	1	1	0	0	0	0	0	2-1-2-1-0-0-0-0-0	2070.11585	0.0026	05LoUlBe
3	3	2	1	1	1	1	0	0	0	0	0	2-1-1-1-0-0-0-0-0	2070.82259	0.0026	05LoUlBe
4	1	2	0	2	4	0	0	1	0	0	1	2-0-2-0-0-1-0-0-1	2078.593	0.0026	05LoUlBe
2	2	2	2	1	1	1	0	0	0	0	0	2-2-1-1-0-0-0-0-0	2081.50015	0.0026	05LoUlBe
1	1	2	2	0	1	1	0	0	0	0	0	2-2-0-1-0-0-0-0-0	2081.50208	0.0026	05LoUlBe
1	4	2	1	2	4	0	0	1	0	0	1	2-1-2-0-0-1-0-0-1	2082.7135	0.0026	05LoUlBe
2	3	2	1	1	4	0	0	1	0	0	1	2-1-1-0-0-1-0-0-1	2083.32885	0.0026	05LoUlBe
3	2	2	2	1	4	0	0	1	0	0	1	2-2-1-0-0-1-0-0-1	2096.05825	0.0026	05LoUlBe
4	1	2	2	0	4	0	0	1	0	0	1	2-2-0-0-0-1-0-0-1	2096.06572	0.0026	05LoUlBe
4	1	2	0	2	4	0	0	0	0	1	0	2-0-2-0-0-0-0-1-0	2168.74362	0.0026	05LoUlBe
1	4	2	1	2	4	0	0	0	0	1	0	2-1-2-0-0-0-0-1-0	2172.18175	0.0026	05LoUlBe
2	3	2	1	1	4	0	0	0	0	1	0	2-1-1-0-0-0-0-1-0	2172.80794	0.0026	05LoUlBe
3	2	2	2	1	4	0	0	0	0	1	0	2-2-1-0-0-0-0-1-0	2183.72228	0.0026	05LoUlBe
4	1	2	2	0	4	0	0	0	0	1	0	2-2-0-0-0-0-0-1-0	2183.73095	0.0026	05LoUlBe
1	1	2	0	2	1	0	0	2	0	0	0	2-0-2-0-0-2-0-0-0	2207.67513	0.0028	05LoUlBe
4	4	2	1	2	1	0	0	2	0	0	0	2-1-2-0-0-2-0-0-0	2211.12468	0.0028	05LoUlBe
2	2	2	2	1	1	0	0	2	0	0	0	2-2-1-0-0-2-0-0-0	2222.8058	0.0028	05LoUlBe
1	1	2	2	0	1	0	0	2	0	0	0	2-2-0-0-0-2-0-0-0	2222.81593	0.0028	05LoUlBe
2	2	3	0	3	1	0	0	0	0	0	0	3-0-3-0-0-0-0-0-0	11.660405453	1.0037E-05	Marvel
3	3	3	1	3	1	0	0	0	0	0	0	3-1-3-0-0-0-0-0-0	14.836070428	8.746E-06	Marvel
4	4	3	1	2	1	0	0	0	0	0	0	3-1-2-0-0-0-0-0-0	16.05583944	8.412E-06	Marvel
1	1	3	2	2	1	0	0	0	0	0	0	3-2-2-0-0-0-0-0-0	26.69782452	8.371E-06	Marvel
2	2	3	2	1	1	0	0	0	0	0	0	3-2-1-0-0-0-0-0-0	26.739037978	6.706E-06	Marvel
3	3	3	3	1	1	0	0	0	0	0	0	3-3-1-0-0-0-0-0-0	45.441402752	1.1413E-05	Marvel
4	4	3	3	0	1	0	0	0	0	0	0	3-3-0-0-0-0-0-0-0	45.441612752	1.1446E-05	Marvel
4	2	3	0	3	3	0	0	0	1	0	0	3-0-3-0-0-0-1-0-0	949.626402426	0.000507042	Marvel
1	3	3	1	3	3	0	0	0	1	0	0	3-1-3-0-0-0-1-0-0	952.394531739	4.4775E-05	Marvel
2	4	3	1	2	3	0	0	0	1	0	0	3-1-2-0-0-0-1-0-0	953.502441565	4.3107E-05	Marvel
4	2	3	2	1	3	0	0	0	1	0	0	3-2-1-0-0-0-1-0-0	962.901537312	4.6483E-05	Marvel
3	2	3	0	3	4	0	0	0	0	0	1	3-0-3-0-0-0-0-0-1	1000.895198685	4.0147E-05	Marvel
2	3	3	1	3	4	0	0	0	0	0	1	3-1-3-0-0-0-0-0-1	1004.505818754	5.8449E-05	Marvel
1	4	3	1	2	4	0	0	0	0	0	1	3-1-2-0-0-0-0-0-1	1005.765001807	5.6784E-05	Marvel
4	1	3	2	2	4	0	0	0	0	0	1	3-2-2-0-0-0-0-0-1	1017.710396915	7.8148E-05	Marvel
3	2	3	2	1	4	0	0	0	0	0	1	3-2-1-0-0-0-0-0-1	1017.750258603	0.000101498	Marvel
2	2	3	0	3	1	0	1	0	0	0	0	3-0-3-0-1-0-0-0-0	1713.199490753	0.00016504	Marvel
3	3	3	1	3	1	0	1	0	0	0	0	3-1-3-0-1-0-0-0-0	1716.386162974	0.000176778	Marvel
4	4	3	1	2	1	0	1	0	0	0	0	3-1-2-0-1-0-0-0-0	1717.599242997	0.000170078	Marvel
1	1	3	2	2	1	0	1	0	0	0	0	3-2-2-0-1-0-0-0-0	1728.268965875	0.000166706	Marvel
2	2	3	2	1	1	0	1	0	0	0	0	3-2-1-0-1-0-0-0-0	1728.309532442	0.000168371	Marvel
3	3	3	3	1	1	0	1	0	0	0	0	3-3-1-0-1-0-0-0-0	1747.052365334	0.040009747	Marvel
4	4	3	3	0	1	0	1	0	0	0	0	3-3-0-0-1-0-0-0-0	1747.053832334	0.04000978	Marvel
2	2	3	0	3	1	0	0	0	2	0	0	3-0-3-0-0-0-2-0-0	1879.33807203	0.00040504	Marvel
